id,name,sum(B.l_bp),count(*)
1,"Adam Pavlasek",12,7
2,"Adelchi Virgili",7,1
3,"Adrian Bodmer",8,3
4,"Adrian Menendez Maceiras",17,7
5,"Adrien Bossel",12,5
6,"Agustin Velotti",0,2
7,"Aldin Setkic",51,13
8,"Alejandro Gomez Gb42",48,7
9,"Alejandro Gonzalez",29,9
10,"Alejandro Mendoza",14,2
11,"Aleksandr Nedovyesov",15,5
12,"Alessandro Bega",20,8
13,"Alessandro Damiano Ventre",5,1
14,"Alessandro Giannessi",52,12
15,"Alessandro Motti",4,1
16,"Alessandro Petrone",5,1
17,"Alex Bolt",27,7
18,"Alexander Babanine",17,3
19,"Alexander Bury",14,4
20,"Alexander Lazov",3,1
21,"Alexander Pavlioutchenkov",8,1
22,"Alexander Sarkissian",30,9
23,"Alexander Vasilenko",9,2
24,"Alexander Ward",17,3
25,"Alexander Zhurbin",8,3
26,"Alexandr Igoshin",19,3
27,"Alexey Vatutin",37,11
28,"Alexios Halebian",18,4
29,"Andrea Arnaboldi",34,13
30,"Andrea Basso",21,7
31,"Andrea Collarini",40,10
32,"Andreas Haider Maurer",8,3
33,"Andreas Seppi",6,2
34,"Andreas Siljestrom",6,1
35,"Andrej Martin",30,8
36,"Andrew Harris",16,5
37,"Andrew Whittington",37,8
38,"Andrey Yakovlev",6,1
39,"Ante Pavic",54,13
40,"Antoine Escoffier",27,9
41,"Antonio Ruiz Rosales",2,1
42,"Arata Onozawa",1,1
43,"Arjun Kadhe",7,2
44,"Arnau Dachs",0,1
45,"Arthur De Greef",41,12
46,"Aslan Karatsev",18,4
47,"Attila Balazs",15,5
48,"Austin Krajicek",19,7
49,"Axel Michon",1,1
50,"Benjamin Lock",14,4
51,"Benjamin Mitchell",15,3
52,"Bernard Tomic",2,2
53,"Bjorn Fratangelo",13,5
54,"Blaz Kavcic",14,4
55,"Blaz Rola",28,10
56,"Boris Arias",17,3
57,"Bradley Klahn",37,9
58,"Bradley Mousley",32,10
59,"Brayden Schnur",39,12
60,"Brydan Klein",42,10
61,"Caio Silva",3,1
62,"Calum Puttergill",2,1
63,"Cameron Norrie",11,6
64,"Carlos Berlocq",2,2
65,"Carlos Boluda Purkiss",10,5
66,"Carlos Gomez Herrera",25,8
67,"Cheng Peng Hsieh",20,4
68,"Cheng Yu Yu",3,1
69,"Cheong Eui Kim",15,5
70,"Christian Garin",38,10
71,"Christian Harrison",23,11
72,"Christian Lindell",3,1
73,"Christopher Diaz Figueroa",15,2
74,"Christopher Oconnell",5,2
75,"Christopher Rungkat",7,3
76,"Chuhan Wang",12,2
77,"Constant Lestienne",38,10
78,"Cristian Rodriguez",24,6
79,"Dane Propoggia",11,3
80,"Daniel Brands",8,2
81,"Daniel Dutra Da Silva",13,3
82,"Daniel Evans",5,2
83,"Daniel Gimeno Traver",24,7
84,"Daniel Masur",34,9
85,"Daniel Munoz De La Nava",37,8
86,"Daniel Nguyen",6,2
87,"Daniel Yoo",8,3
88,"Daniiar Duldaev",6,2
89,"Daniil Medvedev",5,1
90,"Danilo Petrovic",43,9
91,"Dante Gennaro",6,1
92,"Darian King",34,11
93,"Dario Acosta",5,1
94,"David Guez",17,6
95,"David Pel",3,1
96,"David Vega Hernandez",16,6
97,"Dayne Kelly",25,8
98,"Denis Istomin",3,2
99,"Denis Kudla",35,9
100,"Denis Matsukevitch",2,1
101,"Dennis Nevolo",6,1
102,"Dennis Novak",20,8
103,"Dennis Novikov",31,10
104,"Denys Molchanov",5,3
105,"Di Wu",40,11
106,"Dimitar Kuzmanov",15,4
107,"Divij Sharan",3,1
108,"Donald Young",11,2
109,"Dorian Descloix",1,2
110,"Dragos Dima",1,1
111,"Dudi Sela",28,6
112,"Dusan Lajovic",2,1
113,"Dustin Brown",22,6
114,"Dzmitry Zhyrmont",2,1
115,"Edoardo Eremin",12,2
116,"Eduard Esteve Lobato",9,2
117,"Edward Bourchier",6,2
118,"Edward Corrie",10,7
119,"Egor Gerasimov",8,5
120,"Elias Ymer",31,8
121,"Emilio Gomez",47,7
122,"Enrique Lopez Perez",48,10
123,"Enzo Couacaud",3,2
124,"Erik Crepaldi",8,4
125,"Ernests Gulbis",44,9
126,"Evan King",33,12
127,"Evan Song",9,6
128,"Evgeny Donskoy",7,3
129,"Evgeny Karlovskiy",22,8
130,"Fabrice Martin",8,2
131,"Fabricio Neis",4,2
132,"Facundo Arguello",27,6
133,"Facundo Bagnis",30,7
134,"Farrukh Dustov",5,2
135,"Federico Coria",29,7
136,"Federico Gaio",49,13
137,"Federico Zeballos",23,4
138,"Felipe Mantilla",20,8
139,"Fernando Romboli",21,4
140,"Filip Horansky",6,4
141,"Filip Peliwo",50,12
142,"Filippo Baldi",14,6
143,"Flavio Cipolla",10,3
144,"Florian Mayer",4,2
145,"Francesco Garzelli",3,1
146,"Francisco Dias",25,3
147,"Franco Agamenone",49,9
148,"Franco Skugor",6,3
149,"Frank Dancevic",17,6
150,"Frederico Ferreira Silva",10,2
151,"Frederico Gil",6,3
152,"Frederik Nielsen",21,6
153,"Gastao Elias",31,8
154,"Gavin Van Peperzeel",16,3
155,"Gerard Granollers",33,13
156,"Germain Gigounon",6,2
